GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projeto-simples,com.projeto.perfil,PerfilService,15,0,2,0,3,0,4,0,3,0
projeto-simples,com.projeto.favoritos,FavoritosService,33,0,6,0,7,0,7,0,4,0
projeto-simples,com.projeto.historico,HistoricoService,28,0,4,0,7,0,6,0,4,0
projeto-simples,com.projeto.senha,SenhaService,27,0,10,0,6,0,7,0,2,0
projeto-simples,com.projeto,ProjetoApplication,11,0,0,0,4,0,2,0,2,0
projeto-simples,com.projeto.frete,FreteService,24,0,4,0,4,0,5,0,3,0
projeto-simples,com.projeto.compra,CompraService,27,0,6,0,5,0,6,0,3,0
projeto-simples,com.projeto.encomenda,EncomendaService,10,0,0,0,3,0,3,0,3,0
projeto-simples,com.projeto.produto,ProdutoService,8,30,4,4,1,5,4,4,1,3
projeto-simples,com.projeto.chat,ChatService,2,32,3,9,1,6,3,6,0,3
projeto-simples,com.projeto.avaliacao,AvaliacaoService,48,0,10,0,7,0,8,0,3,0
